S.N,District_Name,Zone,Ecological_Belt,Development_Region,Year_BS,Year_AD,Condition,Type,Male,Female,Age,Married,Unmarried,Education,Employment,Lat,Long,Age_Group
1300,Gorkha,Gandaki,Hill,Western,2071,2014,Minor,Alcoholism,47,32,27,45,34.0,"College degree, bachelor, master",no,28.28884046,84.78048444,Middle-age
1301,Gorkha,Gandaki,Hill,Western,2071,2014,Severe,Epilepsy,43,43,38,28,58.0,"College degree, bachelor, master",no,28.28884046,84.78048444,Middle-age
1302,Lamjung,Gandaki,Hill,Western,2071,2014,Minor,Depression,36,25,46,54,7.0,PhD/Doctorate,Unknown,28.23682669,84.41790176,old
1303,Lamjung,Gandaki,Hill,Western,2071,2014,Minor,Psychosis,46,44,36,31,59.0,"College degree, bachelor, master",no,28.23682669,84.41790176,Middle-age
1304,Lamjung,Gandaki,Hill,Western,2071,2014,Major,Anxiety,36,25,49,57,4.0,"College degree, bachelor, master",Unknown,28.23682669,84.41790176,old
1305,Lamjung,Gandaki,Hill,Western,2071,2014,Severe,Mental retardation,42,24,30,41,25.0,"College degree, bachelor, master",no,28.23682669,84.41790176,Middle-age
1306,Lamjung,Gandaki,Hill,Western,2071,2014,Minor,Hysteria,40,46,21,60,26.0,"College degree, bachelor, master",no,28.23682669,84.41790176,Middle-age
1307,Lamjung,Gandaki,Hill,Western,2071,2014,Normal,Alcoholism,26,41,37,25,42.0,"College degree, bachelor, master",no,28.23682669,84.41790176,Middle-age
1308,Lamjung,Gandaki,Hill,Western,2071,2014,Major,Epilepsy,51,27,60,40,38.0,Unknown,Unknown,28.23682669,84.41790176,old
1309,Tanahu,Gandaki,Hill,Western,2071,2014,Severe,Depression,55,55,20,28,82.0,"College degree, bachelor, master",no,27.94887859,84.23370592,Middle-age
1310,Tanahu,Gandaki,Hill,Western,2071,2014,Major,Psychosis,18,33,35,26,25.0,"College degree, bachelor, master",no,27.94887859,84.23370592,Middle-age
1311,Tanahu,Gandaki,Hill,Western,2071,2014,Normal,Anxiety,28,20,18,2,46.0,Up to 12 years of school,no,27.94887859,84.23370592,young
1312,Tanahu,Gandaki,Hill,Western,2071,2014,Normal,Mental retardation,32,23,26,34,21.0,"College degree, bachelor, master",no,27.94887859,84.23370592,Middle-age
1313,Tanahu,Gandaki,Hill,Western,2071,2014,Minor,Hysteria,46,35,37,43,38.0,"College degree, bachelor, master",no,27.94887859,84.23370592,Middle-age
1314,Tanahu,Gandaki,Hill,Western,2071,2014,Severe,Alcoholism,30,31,45,36,25.0,PhD/Doctorate,Unknown,27.94887859,84.23370592,old
1315,Tanahu,Gandaki,Hill,Western,2071,2014,Severe,Epilepsy,50,45,31,46,49.0,"College degree, bachelor, master",no,27.94887859,84.23370592,Middle-age
1316,Syangja,Gandaki,Hill,Western,2071,2014,Severe,Depression,19,32,48,33,18.0,PhD/Doctorate,no,28.01170542,83.77998363,old
1317,Syangja,Gandaki,Hill,Western,2071,2014,Major,Psychosis,27,59,35,27,59.0,"College degree, bachelor, master",yes,28.01170542,83.77998363,Middle-age
1318,Syangja,Gandaki,Hill,Western,2071,2014,Minor,Anxiety,43,31,40,26,48.0,PhD/Doctorate,yes,28.01170542,83.77998363,old
1319,Syangja,Gandaki,Hill,Western,2071,2014,Severe,Mental retardation,27,49,35,52,24.0,"College degree, bachelor, master",yes,28.01170542,83.77998363,Middle-age
1320,Syangja,Gandaki,Hill,Western,2071,2014,Minor,Hysteria,48,29,25,50,27.0,"College degree, bachelor, master",no,28.01170542,83.77998363,Middle-age
1321,Syangja,Gandaki,Hill,Western,2071,2014,Minor,Alcoholism,53,45,44,40,58.0,PhD/Doctorate,yes,28.01170542,83.77998363,old
1322,Syangja,Gandaki,Hill,Western,2071,2014,Minor,Epilepsy,24,56,52,22,58.0,"College degree, bachelor, master",yes,28.01170542,83.77998363,old
1323,Kaski,Gandaki,Hill,Western,2071,2014,Major,Depression,58,43,50,28,73.0,Up to 9 years of school,yes,28.30661651,84.01052734,old
1324,Kaski,Gandaki,Hill,Western,2071,2014,Normal,Psychosis,29,50,33,43,36.0,"College degree, bachelor, master",yes,28.30661651,84.01052734,Middle-age
1325,Kaski,Gandaki,Hill,Western,2071,2014,Normal,Anxiety,45,43,45,35,53.0,PhD/Doctorate,yes,28.30661651,84.01052734,old
1326,Kaski,Gandaki,Hill,Western,2071,2014,Major,Mental retardation,20,37,34,54,3.0,"College degree, bachelor, master",yes,28.30661651,84.01052734,Middle-age
1327,Kaski,Gandaki,Hill,Western,2071,2014,Normal,Hysteria,21,57,55,60,18.0,"College degree, bachelor, master",yes,28.30661651,84.01052734,old
1328,Kaski,Gandaki,Hill,Western,2071,2014,Minor,Alcoholism,55,22,44,44,33.0,PhD/Doctorate,yes,28.30661651,84.01052734,old
1329,Kaski,Gandaki,Hill,Western,2071,2014,Major,Epilepsy,60,31,55,41,50.0,Up to 12 years of school,yes,28.30661651,84.01052734,old
1330,Manang,Gandaki,Mountain,Western,2071,2014,Major,Depression,54,34,35,53,35.0,"College degree, bachelor, master",yes,28.69469101,84.2357415,Middle-age
1331,Manang,Gandaki,Mountain,Western,2071,2014,Minor,Psychosis,24,24,36,26,22.0,"College degree, bachelor, master",yes,28.69469101,84.2357415,Middle-age
1332,Manang,Gandaki,Mountain,Western,2071,2014,Severe,Anxiety,21,23,56,42,2.0,"College degree, bachelor, master",yes,28.69469101,84.2357415,old
1333,Manang,Gandaki,Mountain,Western,2071,2014,Normal,Mental retardation,26,37,20,24,39.0,Unknown,no,28.69469101,84.2357415,Middle-age
1334,Manang,Gandaki,Mountain,Western,2071,2014,Minor,Hysteria,44,36,49,18,62.0,Up to 9 years of school,yes,28.69469101,84.2357415,old
1335,Manang,Gandaki,Mountain,Western,2071,2014,Minor,Alcoholism,55,44,43,33,66.0,PhD/Doctorate,yes,28.69469101,84.2357415,old
1336,Manang,Gandaki,Mountain,Western,2071,2014,Minor,Epilepsy,35,21,41,28,28.0,PhD/Doctorate,yes,28.69469101,84.2357415,old
1337,Mustang,Dhawalagiri,Mountain,Western,2071,2014,Severe,Depression,18,32,35,19,31.0,"College degree, bachelor, master",yes,29.02209022,83.88796267,Middle-age
1338,Mustang,Dhawalagiri,Mountain,Western,2071,2014,Minor,Psychosis,44,20,33,29,35.0,"College degree, bachelor, master",yes,29.02209022,83.88796267,Middle-age
1339,Mustang,Dhawalagiri,Mountain,Western,2071,2014,Major,Anxiety,22,59,27,47,34.0,"College degree, bachelor, master",yes,29.02209022,83.88796267,Middle-age
1340,Mustang,Dhawalagiri,Mountain,Western,2071,2014,Severe,Mental retardation,43,50,56,47,46.0,"College degree, bachelor, master",yes,29.02209022,83.88796267,old
1341,Mustang,Dhawalagiri,Mountain,Western,2071,2014,Minor,Hysteria,27,59,40,38,48.0,PhD/Doctorate,yes,29.02209022,83.88796267,old
1342,Mustang,Dhawalagiri,Mountain,Western,2071,2014,Minor,Alcoholism,50,24,19,57,17.0,"Some College, short continuing education or equivalent",no,29.02209022,83.88796267,young
1343,Mustang,Dhawalagiri,Mountain,Western,2071,2014,Major,Epilepsy,37,54,52,19,72.0,Up to 12 years of school,Unknown,29.02209022,83.88796267,old
1344,Myagdi,Dhawalagiri,Hill,Western,2071,2014,Normal,Depression,29,21,32,31,19.0,"College degree, bachelor, master",yes,28.52877381,83.47535629,Middle-age
1345,Myagdi,Dhawalagiri,Hill,Western,2071,2014,Normal,Psychosis,57,21,54,36,42.0,"College degree, bachelor, master",Unknown,28.52877381,83.47535629,old
1346,Myagdi,Dhawalagiri,Hill,Western,2071,2014,Severe,Anxiety,26,22,30,25,23.0,"College degree, bachelor, master",yes,28.52877381,83.47535629,Middle-age
1347,Myagdi,Dhawalagiri,Hill,Western,2071,2014,Severe,Mental retardation,33,26,25,54,5.0,"College degree, bachelor, master",yes,28.52877381,83.47535629,Middle-age
1348,Myagdi,Dhawalagiri,Hill,Western,2071,2014,Minor,Hysteria,32,51,51,23,60.0,Up to 9 years of school,Unknown,28.52877381,83.47535629,old
1349,Myagdi,Dhawalagiri,Hill,Western,2071,2014,Major,Alcoholism,35,20,37,52,3.0,"College degree, bachelor, master",no,28.52877381,83.47535629,Middle-age
1350,Myagdi,Dhawalagiri,Hill,Western,2071,2014,Normal,Epilepsy,34,22,40,25,31.0,PhD/Doctorate,no,28.52877381,83.47535629,old
1351,Parbat,Dhawalagiri,Hill,Western,2071,2014,Severe,Depression,22,52,46,58,16.0,PhD/Doctorate,no,28.19805363,83.67436777,old
1352,Parbat,Dhawalagiri,Hill,Western,2071,2014,Minor,Psychosis,48,36,29,53,31.0,"College degree, bachelor, master",no,28.19805363,83.67436777,Middle-age
1353,Parbat,Dhawalagiri,Hill,Western,2071,2014,Normal,Anxiety,35,25,36,27,33.0,"College degree, bachelor, master",no,28.19805363,83.67436777,Middle-age
1354,Parbat,Dhawalagiri,Hill,Western,2071,2014,Minor,Mental retardation,32,20,56,45,7.0,"College degree, bachelor, master",retired,28.19805363,83.67436777,old
1355,Parbat,Dhawalagiri,Hill,Western,2071,2014,Normal,Hysteria,19,52,34,36,35.0,"College degree, bachelor, master",no,28.19805363,83.67436777,Middle-age
1356,Parbat,Dhawalagiri,Hill,Western,2071,2014,Severe,Alcoholism,49,27,40,18,58.0,PhD/Doctorate,no,28.19805363,83.67436777,old
1357,Parbat,Dhawalagiri,Hill,Western,2071,2014,Minor,Epilepsy,33,33,28,50,16.0,"College degree, bachelor, master",no,28.19805363,83.67436777,Middle-age
1358,Baglung,Dhawalagiri,Hill,Western,2071,2014,Severe,Depression,48,24,51,21,51.0,"College degree, bachelor, master",no,28.33975247,83.2731612,old
1359,Baglung,Dhawalagiri,Hill,Western,2071,2014,Normal,Psychosis,50,42,29,37,55.0,"College degree, bachelor, master",no,28.33975247,83.2731612,Middle-age
1360,Baglung,Dhawalagiri,Hill,Western,2071,2014,Severe,Anxiety,33,44,47,41,36.0,PhD/Doctorate,no,28.33975247,83.2731612,old
1361,Baglung,Dhawalagiri,Hill,Western,2071,2014,Major,Mental retardation,19,26,60,22,23.0,None,no,28.33975247,83.2731612,old
1362,Baglung,Dhawalagiri,Hill,Western,2071,2014,Severe,Hysteria,23,20,55,31,12.0,"College degree, bachelor, master",no,28.33975247,83.2731612,old
1363,Baglung,Dhawalagiri,Hill,Western,2071,2014,Severe,Alcoholism,18,34,36,52,0.0,"College degree, bachelor, master",no,28.33975247,83.2731612,Middle-age
1364,Baglung,Dhawalagiri,Hill,Western,2071,2014,Severe,Epilepsy,34,32,60,48,18.0,Up to 9 years of school,no,28.33975247,83.2731612,old
1365,Gulmi,Lumbini,Hill,Western,2071,2014,Normal,Depression,58,57,21,30,85.0,Unknown,no,28.08755407,83.30920208,Middle-age
1366,Gulmi,Lumbini,Hill,Western,2071,2014,Normal,Psychosis,32,45,50,54,23.0,"College degree, bachelor, master",no,28.08755407,83.30920208,old
1367,Gulmi,Lumbini,Hill,Western,2071,2014,Normal,Anxiety,59,36,20,19,76.0,"College degree, bachelor, master",no,28.08755407,83.30920208,Middle-age
1368,Gulmi,Lumbini,Hill,Western,2071,2014,Severe,Mental retardation,58,51,26,24,85.0,"College degree, bachelor, master",no,28.08755407,83.30920208,Middle-age
1369,Gulmi,Lumbini,Hill,Western,2071,2014,Major,Hysteria,22,51,22,34,39.0,"College degree, bachelor, master",no,28.08755407,83.30920208,Middle-age
1370,Gulmi,Lumbini,Hill,Western,2071,2014,Minor,Alcoholism,22,43,20,27,38.0,Unknown,no,28.08755407,83.30920208,Middle-age
1371,Gulmi,Lumbini,Hill,Western,2071,2014,Minor,Epilepsy,42,55,31,22,75.0,"College degree, bachelor, master",yes,28.08755407,83.30920208,Middle-age
1372,Palpa,Lumbini,Hill,Western,2071,2014,Severe,Depression,36,26,34,40,22.0,"College degree, bachelor, master",yes,27.82143756,83.61908522,Middle-age
1373,Palpa,Lumbini,Hill,Western,2071,2014,Minor,Psychosis,36,45,46,31,50.0,PhD/Doctorate,no,27.82143756,83.61908522,old
1374,Palpa,Lumbini,Hill,Western,2071,2014,Severe,Anxiety,44,32,19,38,38.0,"Some College, short continuing education or equivalent",no,27.82143756,83.61908522,young
1375,Palpa,Lumbini,Hill,Western,2071,2014,Normal,Mental retardation,18,52,50,45,25.0,"College degree, bachelor, master",no,27.82143756,83.61908522,old
1376,Palpa,Lumbini,Hill,Western,2071,2014,Minor,Hysteria,21,27,51,40,8.0,Up to 9 years of school,no,27.82143756,83.61908522,old
1377,Palpa,Lumbini,Hill,Western,2071,2014,Normal,Alcoholism,38,57,29,43,52.0,"College degree, bachelor, master",yes,27.82143756,83.61908522,Middle-age
1378,Palpa,Lumbini,Hill,Western,2071,2014,Minor,Epilepsy,59,46,33,27,78.0,"College degree, bachelor, master",yes,27.82143756,83.61908522,Middle-age
1379,Nawalparasi,Lumbini,Terai,Western,2071,2014,Severe,Depression,38,52,48,48,42.0,PhD/Doctorate,no,27.66476736,83.93892312,old
1380,Nawalparasi,Lumbini,Terai,Western,2071,2014,Minor,Psychosis,33,33,45,48,18.0,PhD/Doctorate,no,27.66476736,83.93892312,old
1381,Nawalparasi,Lumbini,Terai,Western,2071,2014,Normal,Anxiety,31,28,54,18,41.0,"College degree, bachelor, master",no,27.66476736,83.93892312,old
1382,Nawalparasi,Lumbini,Terai,Western,2071,2014,Major,Mental retardation,32,42,48,44,30.0,PhD/Doctorate,no,27.66476736,83.93892312,old
1383,Nawalparasi,Lumbini,Terai,Western,2071,2014,Major,Hysteria,44,18,20,40,22.0,None,no,27.66476736,83.93892312,Middle-age
1384,Nawalparasi,Lumbini,Terai,Western,2071,2014,Normal,Alcoholism,33,54,27,33,54.0,"College degree, bachelor, master",yes,27.66476736,83.93892312,Middle-age
1385,Nawalparasi,Lumbini,Terai,Western,2071,2014,Major,Epilepsy,28,44,50,24,48.0,"College degree, bachelor, master",no,27.66476736,83.93892312,old
1386,Rupandehi,Lumbini,Terai,Western,2071,2014,Normal,Depression,52,28,38,40,40.0,"College degree, bachelor, master",yes,27.55443071,83.38330337,Middle-age
1387,Rupandehi,Lumbini,Terai,Western,2071,2014,Severe,Psychosis,26,41,20,47,20.0,"College degree, bachelor, master",no,27.55443071,83.38330337,Middle-age
1388,Rupandehi,Lumbini,Terai,Western,2071,2014,Normal,Anxiety,34,37,51,42,29.0,"College degree, bachelor, master",no,27.55443071,83.38330337,old
1389,Rupandehi,Lumbini,Terai,Western,2071,2014,Severe,Mental retardation,39,49,19,25,63.0,"Some College, short continuing education or equivalent",no,27.55443071,83.38330337,young
1390,Rupandehi,Lumbini,Terai,Western,2071,2014,Minor,Hysteria,58,20,33,32,46.0,"College degree, bachelor, master",yes,27.55443071,83.38330337,Middle-age
1391,Rupandehi,Lumbini,Terai,Western,2071,2014,Normal,Alcoholism,29,60,45,58,31.0,PhD/Doctorate,no,27.55443071,83.38330337,old
1392,Rupandehi,Lumbini,Terai,Western,2071,2014,Severe,Epilepsy,25,57,26,21,61.0,"College degree, bachelor, master",yes,27.55443071,83.38330337,Middle-age
1393,Kapilvastu,Lumbini,Terai,Western,2071,2014,Severe,Depression,45,44,46,31,58.0,PhD/Doctorate,no,27.62216856,82.9780085,old
1394,Kapilvastu,Lumbini,Terai,Western,2071,2014,Minor,Psychosis,19,26,58,39,6.0,Up to 9 years of school,no,27.62216856,82.9780085,old
1395,Kapilvastu,Lumbini,Terai,Western,2071,2014,Severe,Anxiety,26,40,47,35,31.0,PhD/Doctorate,no,27.62216856,82.9780085,old
1396,Kapilvastu,Lumbini,Terai,Western,2071,2014,Major,Mental retardation,29,58,42,46,41.0,PhD/Doctorate,no,27.62216856,82.9780085,old
1397,Kapilvastu,Lumbini,Terai,Western,2071,2014,Normal,Hysteria,18,37,52,49,6.0,"College degree, bachelor, master",no,27.62216856,82.9780085,old
1398,Kapilvastu,Lumbini,Terai,Western,2071,2014,Major,Alcoholism,25,20,57,28,17.0,Up to 9 years of school,yes,27.62216856,82.9780085,old
1399,Kapilvastu,Lumbini,Terai,Western,2071,2014,Major,Epilepsy,28,47,28,36,39.0,"College degree, bachelor, master",yes,27.62216856,82.9780085,Middle-age
1400,Arghakhanchi,Lumbini,Hill,Western,2071,2014,Minor,Depression,44,45,43,60,29.0,PhD/Doctorate,yes,27.90779334,83.06585909,old
1401,Arghakhanchi,Lumbini,Hill,Western,2071,2014,Normal,Psychosis,40,30,27,29,41.0,"College degree, bachelor, master",yes,27.90779334,83.06585909,Middle-age
1402,Arghakhanchi,Lumbini,Hill,Western,2071,2014,Normal,Anxiety,33,60,50,39,54.0,"College degree, bachelor, master",yes,27.90779334,83.06585909,old
1403,Arghakhanchi,Lumbini,Hill,Western,2071,2014,Major,Mental retardation,27,43,25,41,29.0,"College degree, bachelor, master",yes,27.90779334,83.06585909,Middle-age
1404,Arghakhanchi,Lumbini,Hill,Western,2071,2014,Severe,Hysteria,20,34,31,31,23.0,"College degree, bachelor, master",no,27.90779334,83.06585909,Middle-age
1405,Arghakhanchi,Lumbini,Hill,Western,2071,2014,Normal,Alcoholism,52,45,35,34,63.0,"College degree, bachelor, master",no,27.90779334,83.06585909,Middle-age
1406,Arghakhanchi,Lumbini,Hill,Western,2071,2014,Minor,Epilepsy,45,20,31,46,19.0,"College degree, bachelor, master",no,27.90779334,83.06585909,Middle-age
1407,Pyuthan,Rapti,Hill,Mid-Western,2071,2014,Severe,Depression,44,28,39,33,39.0,"College degree, bachelor, master",no,28.09437706,82.88362705,Middle-age
1408,Pyuthan,Rapti,Hill,Mid-Western,2071,2014,Minor,Psychosis,60,21,42,56,25.0,PhD/Doctorate,yes,28.09437706,82.88362705,old
1409,Pyuthan,Rapti,Hill,Mid-Western,2071,2014,Normal,Anxiety,31,41,32,36,36.0,"College degree, bachelor, master",no,28.09437706,82.88362705,Middle-age
1410,Pyuthan,Rapti,Hill,Mid-Western,2071,2014,Normal,Mental retardation,47,20,39,37,30.0,"College degree, bachelor, master",no,28.09437706,82.88362705,Middle-age
1411,Pyuthan,Rapti,Hill,Mid-Western,2071,2014,Major,Hysteria,28,40,23,43,25.0,Unknown,no,28.09437706,82.88362705,Middle-age
1412,Pyuthan,Rapti,Hill,Mid-Western,2071,2014,Severe,Alcoholism,55,36,38,26,65.0,"College degree, bachelor, master",no,28.09437706,82.88362705,Middle-age
1413,Pyuthan,Rapti,Hill,Mid-Western,2071,2014,Minor,Epilepsy,23,57,37,57,23.0,"College degree, bachelor, master",no,28.09437706,82.88362705,Middle-age
1414,Rolpa,Rapti,Hill,Mid-Western,2071,2014,Normal,Depression,24,37,41,29,32.0,PhD/Doctorate,yes,28.32571386,82.61625263,old
1415,Rolpa,Rapti,Hill,Mid-Western,2071,2014,Normal,Psychosis,18,38,52,35,21.0,None,yes,28.32571386,82.61625263,old
1416,Rolpa,Rapti,Hill,Mid-Western,2071,2014,Major,Anxiety,56,27,54,54,29.0,"College degree, bachelor, master",yes,28.32571386,82.61625263,old
1417,Rolpa,Rapti,Hill,Mid-Western,2071,2014,Severe,Mental retardation,54,26,56,38,42.0,Unknown,retired,28.32571386,82.61625263,old
1418,Rolpa,Rapti,Hill,Mid-Western,2071,2014,Normal,Hysteria,35,53,26,24,64.0,"College degree, bachelor, master",no,28.32571386,82.61625263,Middle-age
1419,Rolpa,Rapti,Hill,Mid-Western,2071,2014,Minor,Alcoholism,20,45,50,40,25.0,"College degree, bachelor, master",yes,28.32571386,82.61625263,old
1420,Rolpa,Rapti,Hill,Mid-Western,2071,2014,Severe,Epilepsy,30,45,37,21,54.0,"College degree, bachelor, master",no,28.32571386,82.61625263,Middle-age
1421,Rukum,Rapti,Hill,Mid-Western,2071,2014,Severe,Depression,29,45,37,41,33.0,"College degree, bachelor, master",no,28.69237626,82.66341805,Middle-age
1422,Rukum,Rapti,Hill,Mid-Western,2071,2014,Minor,Psychosis,23,34,18,6,51.0,Up to 12 years of school,no,28.69237626,82.66341805,young
1423,Rukum,Rapti,Hill,Mid-Western,2071,2014,Major,Anxiety,36,41,20,55,22.0,"College degree, bachelor, master",no,28.69237626,82.66341805,Middle-age
1424,Rukum,Rapti,Hill,Mid-Western,2071,2014,Severe,Mental retardation,21,53,38,57,17.0,"College degree, bachelor, master",no,28.69237626,82.66341805,Middle-age
1425,Rukum,Rapti,Hill,Mid-Western,2071,2014,Severe,Hysteria,52,36,22,34,54.0,"College degree, bachelor, master",no,28.69237626,82.66341805,Middle-age
1426,Rukum,Rapti,Hill,Mid-Western,2071,2014,Major,Alcoholism,36,41,28,36,41.0,"College degree, bachelor, master",no,28.69237626,82.66341805,Middle-age
1427,Rukum,Rapti,Hill,Mid-Western,2071,2014,Normal,Epilepsy,58,57,30,23,92.0,"College degree, bachelor, master",no,28.69237626,82.66341805,Middle-age
1428,Salyan,Rapti,Hill,Mid-Western,2071,2014,Normal,Depression,43,37,45,49,31.0,PhD/Doctorate,yes,28.37833876,82.12383472,old
1429,Salyan,Rapti,Hill,Mid-Western,2071,2014,Minor,Psychosis,40,22,21,59,3.0,"College degree, bachelor, master",no,28.37833876,82.12383472,Middle-age
1430,Salyan,Rapti,Hill,Mid-Western,2071,2014,Minor,Anxiety,36,34,44,26,44.0,PhD/Doctorate,yes,28.37833876,82.12383472,old
1431,Salyan,Rapti,Hill,Mid-Western,2071,2014,Minor,Mental retardation,54,19,46,20,53.0,PhD/Doctorate,yes,28.37833876,82.12383472,old
1432,Salyan,Rapti,Hill,Mid-Western,2071,2014,Severe,Hysteria,19,43,48,49,13.0,Unknown,yes,28.37833876,82.12383472,old
1433,Salyan,Rapti,Hill,Mid-Western,2071,2014,Normal,Alcoholism,41,48,28,33,56.0,"College degree, bachelor, master",no,28.37833876,82.12383472,Middle-age
1434,Salyan,Rapti,Hill,Mid-Western,2071,2014,Major,Epilepsy,36,19,34,28,27.0,"College degree, bachelor, master",no,28.37833876,82.12383472,Middle-age
1435,Dang,Rapti,Terai,Mid-Western,2071,2014,Normal,Depression,38,39,52,58,19.0,"College degree, bachelor, master",yes,27.97841875,82.43814156,old
1436,Dang,Rapti,Terai,Mid-Western,2071,2014,Major,Psychosis,43,48,57,52,39.0,"College degree, bachelor, master",yes,27.97841875,82.43814156,old
1437,Dang,Rapti,Terai,Mid-Western,2071,2014,Normal,Anxiety,48,47,41,49,46.0,PhD/Doctorate,yes,27.97841875,82.43814156,old
1438,Dang,Rapti,Terai,Mid-Western,2071,2014,Major,Mental retardation,26,55,59,56,25.0,Up to 9 years of school,Unknown,27.97841875,82.43814156,old
1439,Dang,Rapti,Terai,Mid-Western,2071,2014,Major,Hysteria,49,37,53,30,56.0,None,Unknown,27.97841875,82.43814156,old
1440,Dang,Rapti,Terai,Mid-Western,2071,2014,Severe,Alcoholism,36,21,19,57,0.0,Unknown,yes,27.97841875,82.43814156,young
1441,Dang,Rapti,Terai,Mid-Western,2071,2014,Major,Epilepsy,47,37,23,25,59.0,"College degree, bachelor, master",no,27.97841875,82.43814156,Middle-age
1442,Banke,Bheri,Terai,Mid-Western,2071,2014,Normal,Depression,33,58,45,55,36.0,PhD/Doctorate,Unknown,28.12605255,81.79981157,old
1443,Banke,Bheri,Terai,Mid-Western,2071,2014,Minor,Psychosis,18,20,56,38,0.0,"College degree, bachelor, master",Unknown,28.12605255,81.79981157,old
1444,Banke,Bheri,Terai,Mid-Western,2071,2014,Normal,Anxiety,22,22,35,18,26.0,"College degree, bachelor, master",no,28.12605255,81.79981157,Middle-age
1445,Banke,Bheri,Terai,Mid-Western,2071,2014,Normal,Mental retardation,38,55,29,59,34.0,"College degree, bachelor, master",no,28.12605255,81.79981157,Middle-age
1446,Banke,Bheri,Terai,Mid-Western,2071,2014,Major,Hysteria,25,29,44,53,1.0,PhD/Doctorate,Unknown,28.12605255,81.79981157,old
1447,Banke,Bheri,Terai,Mid-Western,2071,2014,Minor,Alcoholism,59,59,21,36,82.0,"College degree, bachelor, master",no,28.12605255,81.79981157,Middle-age
1448,Banke,Bheri,Terai,Mid-Western,2071,2014,Severe,Epilepsy,18,54,24,25,47.0,"College degree, bachelor, master",yes,28.12605255,81.79981157,Middle-age
1449,Bardiya,Bheri,Terai,Mid-Western,2071,2014,Normal,Depression,51,42,49,48,45.0,PhD/Doctorate,Unknown,28.33694949,81.46126455,old
1450,Bardiya,Bheri,Terai,Mid-Western,2071,2014,Major,Psychosis,36,50,24,58,28.0,"College degree, bachelor, master",no,28.33694949,81.46126455,Middle-age
1451,Bardiya,Bheri,Terai,Mid-Western,2071,2014,Minor,Anxiety,30,33,28,51,12.0,"College degree, bachelor, master",no,28.33694949,81.46126455,Middle-age
1452,Bardiya,Bheri,Terai,Mid-Western,2071,2014,Severe,Mental retardation,58,36,47,45,49.0,PhD/Doctorate,Unknown,28.33694949,81.46126455,old
1453,Bardiya,Bheri,Terai,Mid-Western,2071,2014,Normal,Hysteria,26,29,53,18,37.0,"College degree, bachelor, master",Unknown,28.33694949,81.46126455,old
1454,Bardiya,Bheri,Terai,Mid-Western,2071,2014,Minor,Alcoholism,32,29,42,25,36.0,PhD/Doctorate,Unknown,28.33694949,81.46126455,old
1455,Bardiya,Bheri,Terai,Mid-Western,2071,2014,Minor,Epilepsy,28,41,37,21,48.0,"College degree, bachelor, master",no,28.33694949,81.46126455,Middle-age
1456,Surkhet,Bheri,Hill,Mid-Western,2071,2014,Major,Depression,38,48,26,49,37.0,"College degree, bachelor, master",no,28.6672745,81.55422455,Middle-age
1457,Surkhet,Bheri,Hill,Mid-Western,2071,2014,Minor,Psychosis,43,36,52,58,21.0,"College degree, bachelor, master",Unknown,28.6672745,81.55422455,old
1458,Surkhet,Bheri,Hill,Mid-Western,2071,2014,Minor,Anxiety,42,26,59,25,43.0,Up to 12 years of school,Unknown,28.6672745,81.55422455,old
1459,Surkhet,Bheri,Hill,Mid-Western,2071,2014,Severe,Mental retardation,40,21,37,40,21.0,"College degree, bachelor, master",no,28.6672745,81.55422455,Middle-age
1460,Surkhet,Bheri,Hill,Mid-Western,2071,2014,Minor,Hysteria,28,45,34,29,44.0,"College degree, bachelor, master",no,28.6672745,81.55422455,Middle-age
1461,Surkhet,Bheri,Hill,Mid-Western,2071,2014,Major,Alcoholism,20,35,38,38,17.0,"College degree, bachelor, master",no,28.6672745,81.55422455,Middle-age
1462,Surkhet,Bheri,Hill,Mid-Western,2071,2014,Minor,Epilepsy,22,28,56,48,2.0,Unknown,yes,28.6672745,81.55422455,old
1463,Dailekh,Bheri,Hill,Mid-Western,2071,2014,Minor,Depression,26,42,37,26,42.0,"College degree, bachelor, master",no,28.89826774,81.67159209,Middle-age
1464,Dailekh,Bheri,Hill,Mid-Western,2071,2014,Severe,Psychosis,26,55,58,43,38.0,"College degree, bachelor, master",yes,28.89826774,81.67159209,old
1465,Dailekh,Bheri,Hill,Mid-Western,2071,2014,Normal,Anxiety,54,29,40,45,38.0,PhD/Doctorate,no,28.89826774,81.67159209,old
1466,Dailekh,Bheri,Hill,Mid-Western,2071,2014,Minor,Mental retardation,48,46,38,41,53.0,"College degree, bachelor, master",no,28.89826774,81.67159209,Middle-age
1467,Dailekh,Bheri,Hill,Mid-Western,2071,2014,Normal,Hysteria,23,33,36,56,0.0,"College degree, bachelor, master",no,28.89826774,81.67159209,Middle-age
1468,Dailekh,Bheri,Hill,Mid-Western,2071,2014,Major,Alcoholism,22,55,46,26,51.0,PhD/Doctorate,no,28.89826774,81.67159209,old
1469,Dailekh,Bheri,Hill,Mid-Western,2071,2014,Normal,Epilepsy,43,28,50,45,26.0,Up to 12 years of school,no,28.89826774,81.67159209,old
1470,Jajarkot,Bheri,Hill,Mid-Western,2071,2014,Normal,Depression,27,49,50,21,55.0,"College degree, bachelor, master",no,28.86798437,82.1977929,old
